id,session_key,date,lap_number,category,flag,scope,message,driver_number
540,9094,2023-05-28T14:21:42+00:00,59,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 2 (SAR) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,
541,9094,2023-05-28T14:21:54+00:00,59,Other,,,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 63 (RUS) AND 11 (PER) UNDER INVESTIGATION - UNSAFE REJOIN,
542,9094,2023-05-28T14:22:08+00:00,59,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:22:07,20
543,9094,2023-05-28T14:22:08+00:00,59,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 2 (SAR) - SPEEDING IN THE PIT LANE,
544,9094,2023-05-28T14:22:20+00:00,59,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - UNSAFE REJOIN,
545,9094,2023-05-28T14:23:06+00:00,60,Other,,,CAR 21 (DEV) TIME 1:43.778 DELETED - TRACK LIMITS AT TURN 10 LAP 58 16:22:23,
546,9094,2023-05-28T14:23:12+00:00,60,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 2,
547,9094,2023-05-28T14:23:12+00:00,60,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,
548,9094,2023-05-28T14:23:13+00:00,60,Other,,,DRS DISABLED IN ZONE 1,
549,9094,2023-05-28T14:23:50+00:00,60,Other,,,DRS ENABLED IN ZONE 1,
550,9094,2023-05-28T14:23:50+00:00,60,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,
551,9094,2023-05-28T14:24:06+00:00,60,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,
552,9094,2023-05-28T14:24:17+00:00,60,Other,,,INCIDENT INVOLVING CAR 27 (HUL) NOTED - SERVING PENALTY INCORRECTLY ,
553,9094,2023-05-28T14:24:21+00:00,61,Other,,,CAR 23 (ALB) TIME 1:46.101 DELETED - TRACK LIMITS AT TURN 11 LAP 58 16:22:39,
554,9094,2023-05-28T14:25:32+00:00,61,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,
555,9094,2023-05-28T14:25:42+00:00,61,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,
556,9094,2023-05-28T14:25:45+00:00,61,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,
557,9094,2023-05-28T14:25:49+00:00,61,Other,,,CAR 11 (PER) TIME 1:40.595 DELETED - TRACK LIMITS AT TURN 10 LAP 59 16:24:45,
558,9094,2023-05-28T14:26:12+00:00,62,Other,,,CAR 4 (NOR) TIME 1:41.789 DELETED - TRACK LIMITS AT TURN 11 LAP 60 16:25:25,
559,9094,2023-05-28T14:28:06+00:00,63,Other,,,CAR 81 (PIA) TIME 1:41.089 DELETED - TRACK LIMITS AT TURN 10 LAP 61 16:27:07,
