id,race_id,driver_id,constructor_id,number,position,points,grid,laps,status,qualifying_position
7504,2020_11,ocon,renault,31,18,0.0,7,22,Gearbox,7
7505,2020_11,bottas,mercedes,77,19,0.0,1,18,Power Unit,1
7506,2020_11,russell,williams,63,20,0.0,17,12,Collision,17
7507,2020_12,hamilton,mercedes,44,1,26.0,1,66,Finished,1
7508,2020_12,bottas,mercedes,77,2,18.0,2,66,Finished,2
7509,2020_12,max_verstappen,red_bull,33,3,15.0,3,66,Finished,3
7510,2020_12,leclerc,ferrari,16,4,12.0,4,66,Finished,4
7511,2020_12,gasly,alphatauri,10,5,10.0,9,65,+1 Lap,9
7512,2020_12,sainz,mclaren,55,6,8.0,7,65,+1 Lap,7
7513,2020_12,perez,racing_point,11,7,6.0,5,65,+1 Lap,5
7514,2020_12,ocon,renault,31,8,4.0,11,65,+1 Lap,11
7515,2020_12,ricciardo,renault,3,9,2.0,10,65,+1 Lap,10
7516,2020_12,vettel,ferrari,5,10,1.0,15,65,+1 Lap,15
7517,2020_12,raikkonen,alfa,7,11,0.0,16,65,+1 Lap,16
7518,2020_12,albon,red_bull,23,12,0.0,6,65,+1 Lap,6
7519,2020_12,norris,mclaren,4,13,0.0,8,65,+1 Lap,8
7520,2020_12,russell,williams,63,14,0.0,14,65,+1 Lap,14
7521,2020_12,giovinazzi,alfa,99,15,0.0,17,65,+1 Lap,17
7522,2020_12,kevin_magnussen,haas,20,16,0.0,19,65,+1 Lap,19
7523,2020_12,grosjean,haas,8,17,0.0,18,65,+1 Lap,18
7524,2020_12,latifi,williams,6,18,0.0,20,64,+2 Laps,20
7525,2020_12,kvyat,alphatauri,26,19,0.0,13,64,+2 Laps,13
7526,2020_12,stroll,racing_point,18,20,0.0,12,51,Collision damage,12
7527,2020_13,hamilton,mercedes,44,1,26.0,2,63,Finished,2
7528,2020_13,bottas,mercedes,77,2,18.0,1,63,Finished,1
7529,2020_13,ricciardo,renault,3,3,15.0,5,63,Finished,5
7530,2020_13,kvyat,alphatauri,26,4,12.0,8,63,Finished,8
7531,2020_13,leclerc,ferrari,16,5,10.0,7,63,Finished,7
7532,2020_13,perez,racing_point,11,6,8.0,11,63,Finished,11
7533,2020_13,sainz,mclaren,55,7,6.0,10,63,Finished,10
7534,2020_13,norris,mclaren,4,8,4.0,9,63,Finished,9
7535,2020_13,raikkonen,alfa,7,9,2.0,18,63,Finished,18
7536,2020_13,giovinazzi,alfa,99,10,1.0,20,63,Finished,20
7537,2020_13,latifi,williams,6,11,0.0,19,63,Finished,19
7538,2020_13,vettel,ferrari,5,12,0.0,14,63,Finished,14
7539,2020_13,stroll,racing_point,18,13,0.0,15,63,Finished,15
7540,2020_13,grosjean,haas,8,14,0.0,16,63,Finished,16
7541,2020_13,albon,red_bull,23,15,0.0,6,63,Finished,6
7542,2020_13,russell,williams,63,16,0.0,13,51,Accident,13
7543,2020_13,max_verstappen,red_bull,33,17,0.0,3,50,Puncture,3
7544,2020_13,kevin_magnussen,haas,20,18,0.0,17,47,Illness,17
7545,2020_13,ocon,renault,31,19,0.0,12,27,Gearbox,12
7546,2020_13,gasly,alphatauri,10,20,0.0,4,8,Water pressure,4
7547,2020_14,hamilton,mercedes,44,1,25.0,6,58,Finished,6
7548,2020_14,perez,racing_point,11,2,18.0,3,58,Finished,3
7549,2020_14,vettel,ferrari,5,3,15.0,11,58,Finished,12
7550,2020_14,leclerc,ferrari,16,4,12.0,12,58,Finished,14
7551,2020_14,sainz,mclaren,55,5,10.0,15,58,Finished,13
7552,2020_14,max_verstappen,red_bull,33,6,8.0,2,58,Finished,2
7553,2020_14,albon,red_bull,23,7,6.0,4,58,Finished,4
7554,2020_14,norris,mclaren,4,8,5.0,14,58,Finished,11
7555,2020_14,stroll,racing_point,18,9,2.0,1,58,Finished,1
7556,2020_14,ricciardo,renault,3,10,1.0,5,58,Finished,5
7557,2020_14,ocon,renault,31,11,0.0,7,57,+1 Lap,7
7558,2020_14,kvyat,alphatauri,26,12,0.0,16,57,+1 Lap,17
7559,2020_14,gasly,alphatauri,10,13,0.0,19,57,+1 Lap,15
7560,2020_14,bottas,mercedes,77,14,0.0,9,57,+1 Lap,9
7561,2020_14,raikkonen,alfa,7,15,0.0,8,57,+1 Lap,8
7562,2020_14,russell,williams,63,16,0.0,0,57,+1 Lap,18
7563,2020_14,kevin_magnussen,haas,20,17,0.0,13,55,Withdrew,16
7564,2020_14,grosjean,haas,8,18,0.0,17,49,Collision damage,19
7565,2020_14,latifi,williams,6,19,0.0,0,39,Collision damage,20
7566,2020_14,giovinazzi,alfa,99,20,0.0,10,11,Gearbox,10
7567,2020_15,hamilton,mercedes,44,1,25.0,1,57,Finished,1
7568,2020_15,max_verstappen,red_bull,33,2,19.0,3,57,Finished,3
7569,2020_15,albon,red_bull,23,3,15.0,4,57,Finished,4
7570,2020_15,norris,mclaren,4,4,12.0,9,57,Finished,9
7571,2020_15,sainz,mclaren,55,5,10.0,15,57,Finished,15
7572,2020_15,gasly,alphatauri,10,6,8.0,8,57,Finished,8
7573,2020_15,ricciardo,renault,3,7,6.0,6,57,Finished,6
7574,2020_15,bottas,mercedes,77,8,4.0,2,57,Finished,2
7575,2020_15,ocon,renault,31,9,2.0,7,57,Finished,7
7576,2020_15,leclerc,ferrari,16,10,1.0,12,56,+1 Lap,12
7577,2020_15,kvyat,alphatauri,26,11,0.0,10,56,+1 Lap,10
7578,2020_15,russell,williams,63,12,0.0,14,56,+1 Lap,14
7579,2020_15,vettel,ferrari,5,13,0.0,11,56,+1 Lap,11
7580,2020_15,latifi,williams,6,14,0.0,20,56,+1 Lap,20
7581,2020_15,raikkonen,alfa,7,15,0.0,17,56,+1 Lap,17
7582,2020_15,giovinazzi,alfa,99,16,0.0,16,56,+1 Lap,16
7583,2020_15,kevin_magnussen,haas,20,17,0.0,18,56,+1 Lap,18
7584,2020_15,perez,racing_point,11,18,0.0,5,53,Engine,5
7585,2020_15,stroll,racing_point,18,19,0.0,13,2,Collision,13
7586,2020_15,grosjean,haas,8,20,0.0,19,0,Collision,19
7587,2020_16,perez,racing_point,11,1,25.0,5,87,Finished,5
7588,2020_16,ocon,renault,31,2,18.0,11,87,Finished,11
7589,2020_16,stroll,racing_point,18,3,15.0,10,87,Finished,10
7590,2020_16,sainz,mclaren,55,4,12.0,8,87,Finished,8
7591,2020_16,ricciardo,renault,3,5,10.0,7,87,Finished,7
7592,2020_16,albon,red_bull,23,6,8.0,12,87,Finished,12
7593,2020_16,kvyat,alphatauri,26,7,6.0,6,87,Finished,6
7594,2020_16,bottas,mercedes,77,8,4.0,1,87,Finished,1
7595,2020_16,russell,mercedes,63,9,3.0,2,87,Finished,2
7596,2020_16,norris,mclaren,4,10,1.0,19,87,Finished,15
7597,2020_16,gasly,alphatauri,10,11,0.0,9,87,Finished,9
7598,2020_16,vettel,ferrari,5,12,0.0,13,87,Finished,13
7599,2020_16,giovinazzi,alfa,99,13,0.0,14,87,Finished,14
7600,2020_16,raikkonen,alfa,7,14,0.0,18,87,Finished,19
7601,2020_16,kevin_magnussen,haas,20,15,0.0,15,87,Finished,16
7602,2020_16,aitken,williams,89,16,0.0,17,87,Finished,18
7603,2020_16,pietro_fittipaldi,haas,51,17,0.0,20,87,Finished,20
7604,2020_16,latifi,williams,6,18,0.0,16,52,Engine,17
7605,2020_16,max_verstappen,red_bull,33,19,0.0,3,0,Accident,3
7606,2020_16,leclerc,ferrari,16,20,0.0,4,0,Collision,4
7607,2020_17,max_verstappen,red_bull,33,1,25.0,1,55,Finished,1
7608,2020_17,bottas,mercedes,77,2,18.0,2,55,Finished,2
7609,2020_17,hamilton,mercedes,44,3,15.0,3,55,Finished,3
7610,2020_17,albon,red_bull,23,4,12.0,5,55,Finished,5
7611,2020_17,norris,mclaren,4,5,10.0,4,55,Finished,4
7612,2020_17,sainz,mclaren,55,6,8.0,6,55,Finished,6
7613,2020_17,ricciardo,renault,3,7,7.0,11,55,Finished,12
7614,2020_17,gasly,alphatauri,10,8,4.0,9,55,Finished,10
7615,2020_17,ocon,renault,31,9,2.0,10,55,Finished,11
7616,2020_17,stroll,racing_point,18,10,1.0,8,55,Finished,8
7617,2020_17,kvyat,alphatauri,26,11,0.0,7,54,+1 Lap,7
7618,2020_17,raikkonen,alfa,7,12,0.0,15,54,+1 Lap,16
7619,2020_17,leclerc,ferrari,16,13,0.0,12,54,+1 Lap,9
7620,2020_17,vettel,ferrari,5,14,0.0,13,54,+1 Lap,13
7621,2020_17,russell,williams,63,15,0.0,16,54,+1 Lap,18
7622,2020_17,giovinazzi,alfa,99,16,0.0,14,54,+1 Lap,14
7623,2020_17,latifi,williams,6,17,0.0,18,54,+1 Lap,20
7624,2020_17,kevin_magnussen,haas,20,18,0.0,20,54,+1 Lap,17
7625,2020_17,pietro_fittipaldi,haas,51,19,0.0,17,53,+2 Laps,19
7626,2020_17,perez,racing_point,11,20,0.0,19,8,Transmission,15
7627,2021_1,hamilton,mercedes,44,1,25.0,2,56,Finished,2
7628,2021_1,max_verstappen,red_bull,33,2,18.0,1,56,Finished,1
7629,2021_1,bottas,mercedes,77,3,16.0,3,56,Finished,3
7630,2021_1,norris,mclaren,4,4,12.0,7,56,Finished,7
7631,2021_1,perez,red_bull,11,5,10.0,0,56,Finished,11
7632,2021_1,leclerc,ferrari,16,6,8.0,4,56,Finished,4
7633,2021_1,ricciardo,mclaren,3,7,6.0,6,56,Finished,6
7634,2021_1,sainz,ferrari,55,8,4.0,8,56,Finished,8
7635,2021_1,tsunoda,alphatauri,22,9,2.0,13,56,Finished,13
7636,2021_1,stroll,aston_martin,18,10,1.0,10,56,Finished,10
7637,2021_1,raikkonen,alfa,7,11,0.0,14,56,Finished,14
7638,2021_1,giovinazzi,alfa,99,12,0.0,12,55,+1 Lap,12
7639,2021_1,ocon,alpine,31,13,0.0,16,55,+1 Lap,16
7640,2021_1,russell,williams,63,14,0.0,15,55,+1 Lap,15
7641,2021_1,vettel,aston_martin,5,15,0.0,20,55,+1 Lap,18
7642,2021_1,mick_schumacher,haas,47,16,0.0,18,55,+1 Lap,19
7643,2021_1,gasly,alphatauri,10,17,0.0,5,52,Retired,5
7644,2021_1,latifi,williams,6,18,0.0,17,51,Retired,17
7645,2021_1,alonso,alpine,14,19,0.0,9,32,Brakes,9
7646,2021_1,mazepin,haas,9,20,0.0,19,0,Accident,20
7647,2021_2,max_verstappen,red_bull,33,1,25.0,3,63,Finished,3
7648,2021_2,hamilton,mercedes,44,2,19.0,1,63,Finished,1
7649,2021_2,norris,mclaren,4,3,15.0,7,63,Finished,7
7650,2021_2,leclerc,ferrari,16,4,12.0,4,63,Finished,4
7651,2021_2,sainz,ferrari,55,5,10.0,11,63,Finished,11
7652,2021_2,ricciardo,mclaren,3,6,8.0,6,63,Finished,6
7653,2021_2,gasly,alphatauri,10,7,6.0,5,63,Finished,5
7654,2021_2,stroll,aston_martin,18,8,4.0,10,63,Finished,10
7655,2021_2,ocon,alpine,31,9,2.0,9,63,Finished,9
7656,2021_2,alonso,alpine,14,10,1.0,15,63,Finished,15
7657,2021_2,perez,red_bull,11,11,0.0,2,63,Finished,2
7658,2021_2,tsunoda,alphatauri,22,12,0.0,20,63,Finished,20
7659,2021_2,raikkonen,alfa,7,13,0.0,16,63,Finished,16
7660,2021_2,giovinazzi,alfa,99,14,0.0,17,62,+1 Lap,17
7661,2021_2,vettel,aston_martin,5,15,0.0,0,61,Gearbox,13
7662,2021_2,mick_schumacher,haas,47,16,0.0,18,61,+2 Laps,18
7663,2021_2,mazepin,haas,9,17,0.0,19,61,+2 Laps,19
7664,2021_2,bottas,mercedes,77,18,0.0,8,30,Collision,8
7665,2021_2,russell,williams,63,19,0.0,12,30,Collision,12
7666,2021_2,latifi,williams,6,20,0.0,14,0,Collision,14
7667,2021_3,hamilton,mercedes,44,1,25.0,2,66,Finished,2
7668,2021_3,max_verstappen,red_bull,33,2,18.0,3,66,Finished,3
7669,2021_3,bottas,mercedes,77,3,16.0,1,66,Finished,1
7670,2021_3,perez,red_bull,11,4,12.0,4,66,Finished,4
7671,2021_3,norris,mclaren,4,5,10.0,7,66,Finished,7
7672,2021_3,leclerc,ferrari,16,6,8.0,8,66,Finished,8
7673,2021_3,ocon,alpine,31,7,6.0,6,66,Finished,6
7674,2021_3,alonso,alpine,14,8,4.0,13,66,Finished,13
7675,2021_3,ricciardo,mclaren,3,9,2.0,16,66,Finished,16
7676,2021_3,gasly,alphatauri,10,10,1.0,9,66,Finished,9
7677,2021_3,sainz,ferrari,55,11,0.0,5,66,Finished,5
